date,user,text
2022-12-12 04:38:53,AliBej0,"RT @riego_see: Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal ini membuat…"
2022-12-12 04:38:45,AliBej0,"RT @riego_see: Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini bisa lang…"
2022-12-12 04:22:18,riego_see,"Bio Farma (Persero), saat ini memiliki screening kit virus corona (Covid-19) terbaru, dengan VarScreen RxReady ini… https://t.co/hLJFghWkEj"
2022-12-12 04:16:26,riego_see,"Pemberian vaksin COVID-19 termasuk booster, utamanya mencegah perburukan dan mengurangi jumlah virus Corona. Hal in… https://t.co/AlSt1y5IZk"
2022-12-12 03:09:32,KilatNusantara,Arief Martha Rahadyan Bangga Ilmuwan Indonesia Ciptakan Alat Basmi Virus Corona https://t.co/rjc5ZZSvaj
2022-12-12 03:07:06,AlshabBdalslam,"RT @AlsywfSlt: Virus Corona adalah sebahagian azab yang lebih kecil sebelum kedatangan azab yang lebih besar, mudah-mudahan mereka kembali…"
2022-12-12 03:06:22,AliBej0,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 03:04:54,Akomeng6,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 02:40:39,polsekbinjaiko4,Giat Personil Polsek Binjai Kota Pada hari ini Senin Pada Tanggal  12 Desember 2022 Pukul 08.30 wib s/d 09.10 Wib t… https://t.co/0b99oMDvNv
2022-12-12 02:33:56,ev3lllyynnnnn,"RT @nobluebberries: @tanyarlfes waktu itu ada tugas kelompok di kelas, kita sambil ngomongin ini itu sampe temen gue ni bilang ""eh virus co…"
2022-12-12 02:33:33,pooryyi,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 02:32:29,pop0yyi,"RT @Revenge00810455: 4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan ti…"
2022-12-12 02:14:31,Revenge00810455,"4 manfaat pemberian vaksin booster COVID-19, antara lain:  1.   Mencegah infeksi virus Corona;  2.   Mempertahankan… https://t.co/Zk8pcQ1SjS"
2022-12-12 01:04:30,Indirapista,Ingat yah kalau Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Cor… https://t.co/7EuLZZ9f0y
2022-12-12 01:03:00,anisandr_,Kuberitahukan kpd kallian nih Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar… https://t.co/OumGg5UB62
2022-12-12 01:02:45,yamettis,Ayo Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. #TerusKejarLukasEnembe #PapuaDamai https://t.co/827fScHTah
2022-12-12 01:02:35,fransis19782944,Vaksin itu sangat aman sekali untuk kesehatan tubuh karena akan membentuk kekebalan tubuh agar terhindar dari virus… https://t.co/hDJfWfk9GP
2022-12-12 01:02:24,varenakuh,Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh kalian dari virus Corona. Bagi yang sudah Vaksin jangan lupa… https://t.co/JBHI62ksMd
2022-12-12 01:02:13,Amelia22312119,Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. Bagi yang sudah Vaksin jangan lupa untuk… https://t.co/WiIo1eRM8k
2022-12-12 01:02:10,Bomad2004,Ayo ikut Vaksinasi untuk meningkatkan daya tahan pada tubuh dari virus Corona. Bagi yang sudah Vaksin jangan lupa u… https://t.co/5u9Py6rsic
2022-12-12 01:02:00,bucindyoo,Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. Meskipun sudah vaksin booster tetap mener… https://t.co/jSBTwmHrdI
2022-12-12 01:02:00,_nabil_a,Kawan-kawan ku Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. Bagi yang sudah Vaksin jan… https://t.co/enXuHCZyhz
2022-12-12 01:02:00,fhintara,Ayo segera ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona dan memutuskan virus Covid-19. Bagi… https://t.co/5RGUoYGRJs
2022-12-12 01:01:49,Hayley76256918,Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru… https://t.co/awhhKURAMY
2022-12-12 01:01:39,babelac61,Ayo ikut Vaksinasi agar untuk meningkatkan daya tahan tubuh kita dari virus Corona. Bagi kalian yang sudah Vaksin j… https://t.co/vfPyahsO7P
2022-12-12 01:01:34,shfjttglrvycv,Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru… https://t.co/lASdlweiiW
2022-12-12 01:01:33,Maksud2004,Vaksin itu sangat aman untuk kesehatan karena akan membentuk kekebalan pada tubuh agar terhindar dari virus Corona… https://t.co/lhiA3Z55Rt
2022-12-12 01:01:19,tifani098_,Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru… https://t.co/PtqaIHuy0c
2022-12-12 01:01:14,Rizpaalia,"Ayoo vaksin, karena vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus… https://t.co/WYmckzzacs"
2022-12-12 01:01:10,slayelff,"Jangan termakan hoax, vaksin itu aman bagi tubuh. Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan t… https://t.co/EsxbyRTHMK"
2022-12-12 01:01:10,Mikimi0_0,Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. Bagi yang sudah Vaksin jangan lupa untuk… https://t.co/XNZDwkot8B
2022-12-12 01:01:04,jensalimann,Vaksin itu aman untuk kesehatan karena nantinya akan membentuk sebuah kekebalan tubuh agar kita terhindar dari viru… https://t.co/kQ8x22XknA
2022-12-12 01:01:00,Tarra52036137,kita ikuti anjuran pemerintah dengan mengikuti Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubu… https://t.co/YDby9m0Bwa
2022-12-12 01:01:00,kjwplcbc202,Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. Bagi yang sudah Vaksin jangan lupa untuk… https://t.co/K7CsHVtVFh
2022-12-12 01:01:00,jaeeohn,Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru… https://t.co/fnlmGx7sGB
2022-12-12 01:00:45,Patrici50293604,Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru… https://t.co/CPBw3n1Quv
2022-12-12 01:00:40,btrcitra,kekebalan tubuh yang didapat melalui vaksinasi adalah bukti bahwa vaksin aman untuk kesehatan agar terhindar dari v… https://t.co/7aS1XMuObP
2022-12-12 01:00:33,8reree33,ikuti Vaksinasi untuk meningkatkan kesehatan sehingga daya tahan tubuh meningkat dan terhindar dari virus Corona. B… https://t.co/1sJgWlh45e
2022-12-12 01:00:28,Kabir_1211,Ayo ikut Vaksinasi untuk meningkatkan daya tahan tubuh dari virus Corona. Bagi yang sudah Vaksin jangan lupa untuk… https://t.co/PvQ17QxXoD
2022-12-12 01:00:28,kiaraawaw,Vaksin itu aman untuk kesehatan karena akan membentuk kekebalan tubuh agar terhindar dari virus Corona varian baru… https://t.co/56zs3Of0WY
